CÓDIGO ÓRGÃO SUPERIOR;NOME ÓRGÃO SUPERIOR;CÓDIGO ÓRGÃO;NOME ÓRGÃO;CÓDIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;CATEGORIA ECONÔMICA;ORIGEM RECEITA;ESPÉCIE RECEITA;DETALHAMENTO;VALOR PREVISTO ATUALIZADO;VALOR LANÇADO;VALOR REALIZADO;PERCENTUAL REALIZADO;DATA LANÇAMENTO;ANO EXERCÍCIO
63000.0;;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Bens, Direitos e Valores Incorporados ao Patr;REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC;0,00;0,00;1297,13;0,00;31/12/2013;
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES;0,00;0,00;26666621,42;0,00;31/12/2013;2013.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;OUTRAS MULTAS E JUROS DE MORA;0,00;0,00;301251,13;0,00;31/12/2013;2013.0
63000.0;;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Bens, Direitos e Valores Incorporados ao Patr;REC.DIV.ATIVA POR INFRAÇÃO ADMINISTRATIVA;0,00;0,00;1855,58;0,00;31/12/2013;2013.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS RESTITUICOES;0,00;0,00;52140,68;0,00;31/12/2013;2013.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Demais receitas correntes;OUTRAS RECEITAS;0,00;0,00;1035906,21;;31/12/2013;2013.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;MULTAS E JUROS PREVISTOS EM CONTRATOS;0,00;0,00;12011,65;0,00;31/12/2013;2013.0
63000.0;Advocacia-Geral da União;63000.0;;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS INDENIZACOES;0,00;0,00;1256728,01;0,00;31/12/2013;2013.0
63000.0;;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;OUTRAS MULTAS;0,00;0,00;418693,27;0,00;31/12/2013;2013.0
63000.0;;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Demais receitas correntes;RECEITA DE ÔNUS DE SUCUMBÊNCIA;0,00;;10075291,47;0,00;31/12/2013;2013.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Demais receitas correntes;RECEITA DE HONORÁRIOS DE ADVOGADOS;0,00;0,00;40031187,66;0,00;31/12/2013;2013.0
37000.0;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES;;0,00;82725,78;0,00;31/12/2013;2013.0
37000.0;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS RESTITUICOES;0,00;0,00;305827,92;0,00;31/12/2013;
37000.0;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Outras Receitas Correntes;Demais receitas correntes;OUTRAS RECEITAS;0,00;0,00;15644,97;0,00;31/12/2013;2013.0
37000.0;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Receita de Serviços;Receita de Serviços;OUTROS SERVICOS FINANCEIROS;1800000,00;0,00;0,00;0,00;31/12/2013;2013.0
37000.0;;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Receita de Serviços;Receita de Serviços;SERVICOS ADMINISTRATIVOS;0,00;0,00;857,07;0,00;31/12/2013;2013.0
37000.0;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;MULTAS E JUROS PREVISTOS EM CONTRATOS;0,00;0,00;306348,52;0,00;31/12/2013;2013.0
37000.0;;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;RESTITUICOES DE CONVENIOS;0,00;0,00;451584,61;;31/12/2013;
;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;110174.0;DIRETORIA DE GESTAO INTERNA/SE/CGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS INDENIZACOES;0,00;0,00;;;31/12/2013;
37000.0;Controladoria-Geral da União;66000.0;Controladoria-Geral da União;110174.0;;Receitas de Capital;Transferências de Capital;Transferências de Instituições Privadas;Transferências de Instituições Privadas;403603,00;0,00;0,00;0,00;31/12/2013;2013.0
22000.0;;22202.0;Empresa Brasileira de Pesquisa Agropecuária;135037.0;EMBRAPA-SETORIAL;Receitas de Capital;Alienação de Bens;Alienação de bens móveis;ALIENACAO DE VEICULOS;640279,00;0,00;985939,65;;31/12/2013;
22000.0;Ministério da Agricultura, Pecuária e Abastec;22000.0;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;130101.0;COORD.-GERAL DE ORCAMENTO E FINANCAS-MAPA;Receitas de Capital;Alienação de Bens;Alienação de bens móveis;ALIENACAO DE VEICULOS;358413,00;0,00;194307,50;54,00;31/12/2013;2013.0
22000.0;Ministério da Agricultura, Pecuária e Abastec;22211.0;Companhia Nacional de Abastecimento;135100.0;COMPANHIA NACIONAL DE ABASTECIMENTO;;Alienação de Bens;Alienação de bens móveis;ALIENACAO DE VEICULOS;111097,00;0,00;68323,99;;31/12/2013;2013.0
